fromBundle,cardinality,toBundle
leistungsmanagement.biz,26,gebietsabgrenzung.type
sozialhilfetraeger.ui,5,gebietsabgrenzung.type
duebak-meldungen.ui,1,gebietsabgrenzung.type
kieferorthopaedie.biz,12,gebietsabgrenzung.type
proto-kostenerstattungen.proc,1,gebietsabgrenzung.type
kur.biz.qs,4,gebietsabgrenzung.type
haeusliche-krankenpflege.ui,1,gebietsabgrenzung.type
versorgungsbezug-meldungen.biz,4,gebietsabgrenzung.type
prozess.biz.impl,6,gebietsabgrenzung.type
arbeitgeberbestandsfuehrung.ui.qs,3,gebietsabgrenzung.type
haushaltshilfe.ui,2,gebietsabgrenzung.type
erv.biz.qs,1,gebietsabgrenzung.type
pflegeunterstuetzungsgeld.biz,2,gebietsabgrenzung.type
krankenhausverzeichnis.biz,10,gebietsabgrenzung.type
arbeitgeberleistung.biz.qs,2,gebietsabgrenzung.type
arbeitgeberbestandsfuehrung.biz.qs.api,1,gebietsabgrenzung.type
proko-schriftgut-beispiel.ui.impl,1,gebietsabgrenzung.type
sonstige-leistung.biz.qs,20,gebietsabgrenzung.type
datenaustausch-finanzverwaltung.ui,8,gebietsabgrenzung.type
haertefall.biz,16,gebietsabgrenzung.type
arbeitgeberbestandsfuehrung-einstieg.ui,2,gebietsabgrenzung.type
leistungsmanagement.biz.qs,1,gebietsabgrenzung.type
rehasport.biz.impl,1,gebietsabgrenzung.type
da-abfrage-mitgliedschaft.biz.qs,1,gebietsabgrenzung.type
kim-log.biz.impl,1,gebietsabgrenzung.type
fv-meldungen.biz,8,gebietsabgrenzung.type
gesundheitskarte.biz,26,gebietsabgrenzung.type
prozess.ui.qs,2,gebietsabgrenzung.type
krankenhausaufenthalt.biz.qs,43,gebietsabgrenzung.type
interessent-pflege.biz,72,gebietsabgrenzung.type
arbeitsunfaehigkeit.biz,22,gebietsabgrenzung.type
diseasemanagement.biz,3,gebietsabgrenzung.type
haertefall.ui.qs,1,gebietsabgrenzung.type
krankenhausaufenthalt.biz.impl,2,gebietsabgrenzung.type
haushaltshilfe.biz.qs,1,gebietsabgrenzung.type
leistungsrueckforderung.biz,11,gebietsabgrenzung.type
dokumentenklasse-vorgang.biz.api,1,gebietsabgrenzung.type
pflegeperson.proc,7,gebietsabgrenzung.type
da-sonstigeleistungserbringer.biz,2,gebietsabgrenzung.type
tkkonto.ui,31,gebietsabgrenzung.type
sonst-leistungsrueckforderung.biz.impl,1,gebietsabgrenzung.type
da-aerzte-hzv.biz,1,gebietsabgrenzung.type
hochschul-meldungen.biz.qs,1,gebietsabgrenzung.type
dokumentenklasse.biz.api,1,gebietsabgrenzung.type
korrespondenz.ui,71,gebietsabgrenzung.type
einstufungsverlauf.proc,11,gebietsabgrenzung.type
krebsregister-abrechnung.biz,1,gebietsabgrenzung.type
prozessereignismanager.biz.impl,7,gebietsabgrenzung.type
prozessereignismanager.biz.qs,10,gebietsabgrenzung.type
konfigurierbare-leistung.biz,20,gebietsabgrenzung.type
kassenwechselmeldungen.biz.impl,4,gebietsabgrenzung.type
sozialversicherungsabkommen.biz,2,gebietsabgrenzung.type
prozess.biz.qs,64,gebietsabgrenzung.type
crmbasis.biz.qs,13,gebietsabgrenzung.type
datenaustausch-eel.biz.impl,11,gebietsabgrenzung.type
haertefall.proc.qs,20,gebietsabgrenzung.type
geschaeftspartner.biz.qs,46,gebietsabgrenzung.type
da-aerzte-asv.biz.qs,4,gebietsabgrenzung.type
kinderkrankengeld.proc,3,gebietsabgrenzung.type
zahnersatz.biz.qs,3,gebietsabgrenzung.type
tkkonto.biz,34,gebietsabgrenzung.type
arbeitgeberbestandsfuehrung.biz.api,7,gebietsabgrenzung.type
korrespondenz-uebergreifend.biz,4,gebietsabgrenzung.type
mitteilungsmanagement.biz,1,gebietsabgrenzung.type
diga.biz,9,gebietsabgrenzung.type
da-abfrage-mitgliedschaft.biz.impl,1,gebietsabgrenzung.type
korrespondenz.ext.outbound.qs,4,gebietsabgrenzung.type
studienverlauf.ui.qs,3,gebietsabgrenzung.type
dividende.biz,6,gebietsabgrenzung.type
geschaeftspartner.biz,27,gebietsabgrenzung.type
akquise.proc,6,gebietsabgrenzung.type
rechnungswesen.proc.api,1,gebietsabgrenzung.type
crm-vorgang.biz.api,2,gebietsabgrenzung.type
vertrieb.ui,10,gebietsabgrenzung.type
zuzahlung.ui,4,gebietsabgrenzung.type
haertefall.ui,2,gebietsabgrenzung.type
haushaltshilfe.biz,1,gebietsabgrenzung.type
sonstige-leistung.biz,307,gebietsabgrenzung.type
dokumentenaufnahme-uebergreifend.biz,2,gebietsabgrenzung.type
einstufungsverlauf.proc.qs,1,gebietsabgrenzung.type
mitgliederbeitrag.biz.qs,1,gebietsabgrenzung.type
zusatzvertrag.ui,2,gebietsabgrenzung.type
pflegeunterstuetzungsgeld.ui,2,gebietsabgrenzung.type
versichertenbestandsfuehrung.biz,272,gebietsabgrenzung.type
mitgliederbeitrag.ui,1,gebietsabgrenzung.type
rechnungswesen.biz,1,gebietsabgrenzung.type
datenaustausch-geldleistungen-basis.biz.impl,9,gebietsabgrenzung.type
kieferorthopaedie.ui,2,gebietsabgrenzung.type
entsendung.biz,18,gebietsabgrenzung.type
gebietsabgrenzung.biz,216,gebietsabgrenzung.type
da-zahnaerzte.biz.qs,14,gebietsabgrenzung.type
vorgang.ui,16,gebietsabgrenzung.type
psychotherapie.ui,3,gebietsabgrenzung.type
arbeitsunfaehigkeit.ui,2,gebietsabgrenzung.type
vertrieb.biz,13,gebietsabgrenzung.type
tk.de.web,9,gebietsabgrenzung.type
sonstige-leistung.ui,8,gebietsabgrenzung.type
eel-basis.biz,1,gebietsabgrenzung.type
crm.biz.api,2,gebietsabgrenzung.type
praevention.proc.qs,1,gebietsabgrenzung.type
vorgang-application.ui,2,gebietsabgrenzung.type
akquise.ui.impl,6,gebietsabgrenzung.type
kvnr-meldungen.biz.impl,2,gebietsabgrenzung.type
versichertenbestandsfuehrung-basis.biz,1,gebietsabgrenzung.type
fahrkosten.proc.qs,1,gebietsabgrenzung.type
korrespondenz-fachbezug.ui,1,gebietsabgrenzung.type
organisationsverwaltung-components.ui.qs,1,gebietsabgrenzung.type
korrespondenz-basis.biz,14,gebietsabgrenzung.type
vertriebspartner.biz,7,gebietsabgrenzung.type
sozv-meldungen.biz,41,gebietsabgrenzung.type
mitgliederbeitrag.biz,4,gebietsabgrenzung.type
leistungen-pruefungen.biz,39,gebietsabgrenzung.type
gebietsabgrenzung.ui,40,gebietsabgrenzung.type
einstufungsverlauf.biz.qs,27,gebietsabgrenzung.type
zahnersatz.biz,15,gebietsabgrenzung.type
kur.ui,18,gebietsabgrenzung.type
prozessereignismanager.proc.qs,9,gebietsabgrenzung.type
pflegeperson.ui.impl,1,gebietsabgrenzung.type
prozessereignismanager.ui.qs,1,gebietsabgrenzung.type
arbeitsunfaehigkeit.biz.qs,9,gebietsabgrenzung.type
datenaustausch-finanzverwaltung.biz,30,gebietsabgrenzung.type
vorgang.biz.qs.api,11,gebietsabgrenzung.type
arbeitgeberbestandsfuehrung-uebergreifend.biz,13,gebietsabgrenzung.type
interessent.biz.qs,13,gebietsabgrenzung.type
kur.biz,22,gebietsabgrenzung.type
kurverzeichnis.biz,3,gebietsabgrenzung.type
rechnungswesen.proc.qs,2,gebietsabgrenzung.type
tkkonto.biz.qs,8,gebietsabgrenzung.type
dokumentenklasse.ui.impl,2,gebietsabgrenzung.type
kostenerstattung.biz,8,gebietsabgrenzung.type
selvabrechnung.biz,2,gebietsabgrenzung.type
unfall.biz.qs,3,gebietsabgrenzung.type
datenaustausch-geldleistungen-basis.biz.api,7,gebietsabgrenzung.type
kinderkrankengeld.biz.qs,9,gebietsabgrenzung.type
fv-meldungen.biz.qs,1,gebietsabgrenzung.type
pflegeversicherung.ui,29,gebietsabgrenzung.type
leistungsrueckforderung.biz.qs,11,gebietsabgrenzung.type
kur.proc.qs,5,gebietsabgrenzung.type
tk-patientenquittung.biz,3,gebietsabgrenzung.type
hilfsmittelversorgung.ui,1,gebietsabgrenzung.type
abr-sonst-leistungserbringer.proc,19,gebietsabgrenzung.type
sozv-meldungen.biz.qs,28,gebietsabgrenzung.type
duebak-meldungen.biz.qs,12,gebietsabgrenzung.type
datenaustausch-eel.biz.qs,1,gebietsabgrenzung.type
versichertenbestandsfuehrung.biz.qs,79,gebietsabgrenzung.type
sozialhilfetraeger-abrechnung.biz,8,gebietsabgrenzung.type
kassenwechselmeldungen.biz.qs,4,gebietsabgrenzung.type
datenaustausch-geldleistungen-basis.biz.qs,11,gebietsabgrenzung.type
sozialversicherungsabkommen.ui,4,gebietsabgrenzung.type
erv.biz.impl,4,gebietsabgrenzung.type
vertriebspartner.biz.qs,4,gebietsabgrenzung.type
prozessereignismanager.biz.api,3,gebietsabgrenzung.type
rechnungswesen.proc,9,gebietsabgrenzung.type
datenaustausch-eel.biz,11,gebietsabgrenzung.type
proko-schriftgut-beispiel.proc,3,gebietsabgrenzung.type
inbound-versicherter.ext.inbound,5,gebietsabgrenzung.type
dokumentenklasse.biz,19,gebietsabgrenzung.type
mdkverzeichnis.ui,2,gebietsabgrenzung.type
psychotherapie.biz,2,gebietsabgrenzung.type
tk-patientenquittung.biz.qs,1,gebietsabgrenzung.type
rehasport.proc,5,gebietsabgrenzung.type
everordnungmanager.biz.impl,2,gebietsabgrenzung.type
meinetk.web,9,gebietsabgrenzung.type
pflegeversicherung.biz.impl,96,gebietsabgrenzung.type
ui-testtools.ui,10,gebietsabgrenzung.type
neuaufnahmemanager.biz,4,gebietsabgrenzung.type
praevention.biz,4,gebietsabgrenzung.type
eel.biz,21,gebietsabgrenzung.type
versorgungsabrechnung.biz.impl,6,gebietsabgrenzung.type
rehasport.ui.impl,1,gebietsabgrenzung.type
mutterschaftsgeld.biz,8,gebietsabgrenzung.type
datenaustausch-eel-uebergreifend.biz,2,gebietsabgrenzung.type
tk.de.biz,23,gebietsabgrenzung.type
crm.biz.qs,3,gebietsabgrenzung.type
arbeitgeberbeitrag.biz.qs,1,gebietsabgrenzung.type
vorgang.biz.qs,93,gebietsabgrenzung.type
zusatzvertrag-batch.biz,1,gebietsabgrenzung.type
widerspruch.biz,8,gebietsabgrenzung.type
haeusliche-krankenpflege.biz.qs,13,gebietsabgrenzung.type
krankenhausaufenthalt.biz,99,gebietsabgrenzung.type
da-aerzte-asv.biz,6,gebietsabgrenzung.type
haertefall.biz.qs,6,gebietsabgrenzung.type
hilfsmittelversorgung.biz,25,gebietsabgrenzung.type
entsendung.ui,1,gebietsabgrenzung.type
duebak-meldungen.biz,3,gebietsabgrenzung.type
e-nachricht.biz.impl,1,gebietsabgrenzung.type
datenaustausch-eessi.ui.qs,1,gebietsabgrenzung.type
gebietsabgrenzung.biz.qs,261,gebietsabgrenzung.type
zahnersatz.ui,1,gebietsabgrenzung.type
gesundheitskarte.biz.qs,31328,gesundheitskarte.biz
gesundheitskarte.ui,2524,gesundheitskarte.biz
gesundheitskarte.batch,652,gesundheitskarte.biz
gesundheitskarte.ui.qs,1606,gesundheitskarte.biz
abr-sonst-leistungserbringer.biz.impl,135,haushaltshilfe.biz.api
abr-sonst-leistungserbringer.biz.qs,526,haushaltshilfe.biz.api
abr-sonst-leistungserbringer.proc.qs,2,haushaltshilfe.biz.api
haushaltshilfe.biz.qs,72,haushaltshilfe.biz.api
haushaltshilfe.biz,65,haushaltshilfe.biz.api
abr-sonst-leistungserbringer.proc,1,haushaltshilfe.biz.api
rehasport.proc,329,rehasport.biz.impl
rehasport.ui.impl,573,rehasport.biz.impl
tk.sys.util,2,asm-commons
tk.sys.boi,142,asm-commons
implantattraeger.biz.qs,98,implantattraeger.biz
tk.sys.communication.requestbroker,54,jetty-client
tk.sys.test,18,jetty-client
tk.sys.util.jserverevent,13,jetty-client
tk.sys.gui.uiserver.qs,55,jetty-client
versichertenbestandsfuehrung.ui,2,begleiter.biz
crm.ui,3,begleiter.biz
begleiter.ui,95,begleiter.biz
begleiter.biz.qs,6,begleiter.biz
optimization,1,begleiter.biz
studienverlauf.ui,2,versichertenbestandsfuehrung.biz.api
da-beitragsdifferenzierung-pv.biz.qs,18,versichertenbestandsfuehrung.biz.api
studienverlauf.biz.qs,4,versichertenbestandsfuehrung.biz.api
meinetk.biz,8,versichertenbestandsfuehrung.biz.api
studienverlauf.biz,10,versichertenbestandsfuehrung.biz.api
da-beitragsdifferenzierung-pv.biz.impl,6,versichertenbestandsfuehrung.biz.api
versichertenbestandsfuehrung.ui,85,versichertenbestandsfuehrung.biz.api
crm.biz,13,versichertenbestandsfuehrung.biz.api
meinetk.web.qs,637,versichertenbestandsfuehrung.biz.api
datenaustausch-eessi.biz,1,versichertenbestandsfuehrung.biz.api
crm.ui,13,versichertenbestandsfuehrung.biz.api
kur.biz.qs,7,versichertenbestandsfuehrung.biz.api
haertefall.ui.qs,2,versichertenbestandsfuehrung.biz.api
kassenwechselmeldungen.biz.impl,5,versichertenbestandsfuehrung.biz.api
akquise.proc,1,versichertenbestandsfuehrung.biz.api
haertefall.ui,4,versichertenbestandsfuehrung.biz.api
versichertenbestandsfuehrung.biz,626,versichertenbestandsfuehrung.biz.api
mitgliederbeitrag.ui,1,versichertenbestandsfuehrung.biz.api
eel.biz.qs,37,versichertenbestandsfuehrung.biz.api
mitgliederbeitrag.biz,9,versichertenbestandsfuehrung.biz.api
kur.biz,5,versichertenbestandsfuehrung.biz.api
versichertenbestandsfuehrung.biz.qs,415,versichertenbestandsfuehrung.biz.api
kassenwechselmeldungen.biz.qs,1,versichertenbestandsfuehrung.biz.api
versichertenbestandsfuehrung.ui.qs,7,versichertenbestandsfuehrung.biz.api
inbound-versicherter.ext.inbound,8,versichertenbestandsfuehrung.biz.api
meinetk.web,495,versichertenbestandsfuehrung.biz.api
eel.biz,18,versichertenbestandsfuehrung.biz.api
versichertenbestandsfuehrung.biz.impl,22,versichertenbestandsfuehrung.biz.api
arbeitgeberbeitrag.ui,7,insolvenzmanagement-components.ui
arbeitgeberbestandsfuehrung.ui,8,insolvenzmanagement-components.ui
insolvenzmanagement.ui,335,insolvenzmanagement-components.ui
tk.sys.services.ecsarchive,7,tk.sys.services.blobstreaming
tk.sys.eai,7,tk.sys.services.blobstreaming
tk.tool.eaimessage,8,tk.sys.services.blobstreaming
tk.sys.services.tempfilestreaming,6,tk.sys.services.blobstreaming
da-aerzte-kollektiv.biz,2,tk.sys.modeling.annotation
apothekenabrechnung.biz,1,tk.sys.modeling.annotation
crm-components.ui,1,tk.sys.modeling.annotation
regiplan.biz,1,tk.sys.modeling.annotation
arbeitgeberbeitrag.biz,27,tk.sys.modeling.annotation
da-za-leistungsantraege.biz.api,3,tk.sys.modeling.annotation
zahnersatz.proc,1,tk.sys.modeling.annotation
akquise.biz.impl,2,tk.sys.modeling.annotation
korrespondenz.biz,4,tk.sys.modeling.annotation
crmbasis.biz,1,tk.sys.modeling.annotation
studienverlauf.biz,1,tk.sys.modeling.annotation
pzr.biz.impl,3,tk.sys.modeling.annotation
datenaustausch-eessi.biz,10,tk.sys.modeling.annotation
arzneimittelverzeichnis.biz,1,tk.sys.modeling.annotation
tk.sys.eai.adapter.tkeasy,7,tk.sys.modeling.annotation
gesundheitsprojekte.biz,1,tk.sys.modeling.annotation
interessent.biz,9,tk.sys.modeling.annotation
hilfsmittelverzeichnis.biz,1,tk.sys.modeling.annotation
gesundheitskarte.biz,5,tk.sys.modeling.annotation
arbeitsunfaehigkeit.biz,6,tk.sys.modeling.annotation
diseasemanagement.biz,6,tk.sys.modeling.annotation
eel.proc,4,tk.sys.modeling.annotation
melderegisterabgleich.biz.api,4,tk.sys.modeling.annotation
geschaeftspartner.biz,4,tk.sys.modeling.annotation
da-aerzte-hzv.biz.api,1,tk.sys.modeling.annotation
rechnungswesen.biz,2,tk.sys.modeling.annotation
akquise.ui.impl,1,tk.sys.modeling.annotation
zahnersatz.biz,1,tk.sys.modeling.annotation
kur.biz,4,tk.sys.modeling.annotation
praeventionskurs.biz,1,tk.sys.modeling.annotation
everordnungmanager.biz.impl,3,tk.sys.modeling.annotation
pflegeversicherung.biz.impl,1,tk.sys.modeling.annotation
melderegisterabgleich.biz.impl,2,tk.sys.modeling.annotation
tk.qs.sys.boi.test,2,tk.sys.modeling.annotation
versorgungsabrechnung.biz.impl,38,tk.sys.modeling.annotation
krankenhausaufenthalt.biz,1,tk.sys.modeling.annotation
hilfsmittelversorgung.biz,1,tk.sys.modeling.annotation
duebak-meldungen.biz,1,tk.sys.modeling.annotation
hzv.ui.qs,2,tk.sys.validation
meinetk.ui.qs,20,tk.sys.validation
tk.sys.gui.application,10,tk.sys.validation
leistungen-basis.ui,35,tk.sys.validation
studienverlauf.ui,30,tk.sys.validation
crm-components.ui,24,tk.sys.validation
selvteilnahme.ui,7,tk.sys.validation
praeventionskurs.ui,38,tk.sys.validation
tk.sys.gui.mail.qs,4,tk.sys.validation
neuaufnahmemanager.ui,13,tk.sys.validation
krebsregister.ui,16,tk.sys.validation
da-uv-traeger.ui,10,tk.sys.validation
geschaeftspartner.ui,109,tk.sys.validation
rsa-clearing.ui,14,tk.sys.validation
organisationsverwaltung.biz,9,tk.sys.validation
erv.ui.impl,2,tk.sys.validation
fusionsarchiv-stammdaten.ui,84,tk.sys.validation
korrespondenzpartner.ui,2,tk.sys.validation
tk.sys.gui.component.imageviewer,5,tk.sys.validation
arbeitgeberbeitrag.ui,434,tk.sys.validation
eel.ui,182,tk.sys.validation
sozialhilfetraeger-components.ui,1,tk.sys.validation
kinderkrankengeld.ui,69,tk.sys.validation
da-aerzte-kollektiv.ui,7,tk.sys.validation
sonstiger-geschaeftspartner.ui,4,tk.sys.validation
unfall-components.ui,15,tk.sys.validation
da-zahnaerzte.ui,48,tk.sys.validation
einstufungsverlauf.ui,125,tk.sys.validation
versichertenbestandsfuehrung.ui,129,tk.sys.validation
krankenhausverzeichnis.ui,23,tk.sys.validation
tk.sys.viewagent.qs,209,tk.sys.validation
heilmittelverzeichnis.ui,1,tk.sys.validation
fusionsarchiv-beleg.ui,19,tk.sys.validation
sozv-meldungen.ui,105,tk.sys.validation
vorgang-components.ui,22,tk.sys.validation
betriebsnummernverzeichnis.ui,1,tk.sys.validation
arbeitgeberleistung.ui,45,tk.sys.validation
arbeitsagentur.ui,22,tk.sys.validation
widerspruch.ui,144,tk.sys.validation
meinetk.ui,23,tk.sys.validation
dokumentenklasse.ui,8,tk.sys.validation
kostenerstattungswahl.ui,4,tk.sys.validation
unfall.ui,130,tk.sys.validation
kostenerstattung.ui,114,tk.sys.validation
tk.sys.gui.editpattern.qs,10,tk.sys.validation
diga.ui,13,tk.sys.validation
krankenkassenverzeichnis.ui,19,tk.sys.validation
organisationsverwaltung.ui,15,tk.sys.validation
fusionsarchiv-beitrag.ui,5,tk.sys.validation
arbeitgeberbestandsfuehrung.ui,127,tk.sys.validation
datenaustausch-eel.ui,57,tk.sys.validation
kunde-vor-ort.ui,1,tk.sys.validation
leistungsmanagement.ui,77,tk.sys.validation
prozess.ui,2,tk.sys.validation
arbeitgeberleistung-antrag-suche.ui,3,tk.sys.validation
hilfsmittelversorgung.ui.qs,5,tk.sys.validation
versorgungsbezug-meldungen.ui,1,tk.sys.validation
geschaeftspartner.ui.qs,5,tk.sys.validation
vollstreckung.ui,1,tk.sys.validation
chroniker.ui,48,tk.sys.validation
tk.sys.gui.gbo.qs,3,tk.sys.validation
gesundheitsprojekte.ui,86,tk.sys.validation
beitragserstattung-aus-rente.ui,13,tk.sys.validation
krankenhausaufenthalt.ui,186,tk.sys.validation
vertriebspartner.ui.impl,66,tk.sys.validation
dokumentenarchiv.ui,16,tk.sys.validation
tk.sys.workitem,58,tk.sys.validation
leistungsrueckforderung.ui,52,tk.sys.validation
gesundheitskarte.ui,2,tk.sys.validation
krankenkassenverzeichnis-components.ui,1,tk.sys.validation
systemanforderungen.ui,48,tk.sys.validation
crm.ui,72,tk.sys.validation
versorgungsabrechnung.ui.impl,76,tk.sys.validation
gesundheitsprojekte-suche.ui,9,tk.sys.validation
haeusliche-krankenpflege.ui,164,tk.sys.validation
gutachterverzeichnis-components.ui,2,tk.sys.validation
tk.sys.gui.mainframe,2,tk.sys.validation
haushaltshilfe.ui,76,tk.sys.validation
hzv.ui,6,tk.sys.validation
behandlerverzeichnis-components.ui,15,tk.sys.validation
mdkverzeichnis-components.ui,2,tk.sys.validation
datenaustausch-finanzverwaltung.ui,9,tk.sys.validation
arbeitgeberbestandsfuehrung-einstieg.ui,192,tk.sys.validation
uicomponents.ui.qs,82,tk.sys.validation
tk.sys.value.qs,4,tk.sys.validation
tk.sys.value,60,tk.sys.validation
krebsregister.ui.qs,4,tk.sys.validation
da-aerzte-hzv.ui,9,tk.sys.validation
leistungsaushilfe-ausland.ui,32,tk.sys.validation
gutachterverzeichnis.ui,15,tk.sys.validation
tk-termin.ui.impl,2,tk.sys.validation
tkkonto.ui,219,tk.sys.validation
korrespondenz.ui,92,tk.sys.validation
tk.de.ui,2,tk.sys.validation
schulung,9,tk.sys.validation
arbeitgeberbeitrag-suche.ui,1,tk.sys.validation
da-aerzte-asv.ui,2,tk.sys.validation
bonusprogramm.ui,23,tk.sys.validation
eessi-institution.ui,2,tk.sys.validation
stoppuhr.ui,24,tk.sys.validation
schriftgut-archiv.ui,24,tk.sys.validation
organisationsverwaltung-components.ui,7,tk.sys.validation
da-basis.ui.qs,15,tk.sys.validation
viewagent.imageviewer,7,tk.sys.validation
uicomponents.ui,247,tk.sys.validation
tk.sys.application,5,tk.sys.validation
tk.sys.gui.customizer,2,tk.sys.validation
geschaeftspartner-application.ui,36,tk.sys.validation
tk.sys.gui.framework,329,tk.sys.validation
tk.sys.gui.framework.qs,34,tk.sys.validation
versorgungsangebot-components.ui,1,tk.sys.validation
insolvenzmanagement.ui,108,tk.sys.validation
vertrieb.ui,43,tk.sys.validation
zuzahlung.ui,45,tk.sys.validation
haertefall.ui,82,tk.sys.validation
ik-inhaber-verzeichnis-suche.ui,5,tk.sys.validation
tk.sys.test.gui,6,tk.sys.validation
leistungsuebersicht.ui,5,tk.sys.validation
zusatzvertrag.ui,45,tk.sys.validation
tk.sys.gui.editpattern.test,63,tk.sys.validation
pflegeunterstuetzungsgeld.ui,9,tk.sys.validation
mitgliederbeitrag.ui,17,tk.sys.validation
apotheke.ui,232,tk.sys.validation
kassenwechselmeldungen.ui.impl,2,tk.sys.validation
kieferorthopaedie.ui,71,tk.sys.validation
vorgang.ui,108,tk.sys.validation
psychotherapie.ui,39,tk.sys.validation
arbeitsunfaehigkeit.ui,158,tk.sys.validation
kv-verzeichnis.ui,1,tk.sys.validation
tk.tool.eaimessage,13,tk.sys.validation
kurverzeichnis.ui,36,tk.sys.validation
gebuehrenordnung.ui,16,tk.sys.validation
schnellerfassung.ui.qs,9,tk.sys.validation
begleiter.ui,2,tk.sys.validation
da-sonstigeleistungserbringer.ui,2,tk.sys.validation
sonstige-leistung.ui,109,tk.sys.validation
vorgang-application.ui,7,tk.sys.validation
versichertenbestandsfuehrung-components.ui,59,tk.sys.validation
akquise.ui.impl,85,tk.sys.validation
mitteilungsmanagement.ui,14,tk.sys.validation
korrespondenz-fachbezug.ui,4,tk.sys.validation
tk.sys.gui.error,4,tk.sys.validation
fusionsarchiv-arbeitgeberleistung.ui,3,tk.sys.validation
kur.ui,56,tk.sys.validation
leistungen-components.ui,23,tk.sys.validation
meldungen-basis.ui,2,tk.sys.validation
schnellerfassung.ui,5,tk.sys.validation
beitrag.ui,8,tk.sys.validation
krankenhausaufenthalt-components.ui,11,tk.sys.validation
rente.ui,48,tk.sys.validation
tk.sys.gui.print,2,tk.sys.validation
unfall.ui.qs,20,tk.sys.validation
interessent.ui,24,tk.sys.validation
kostenerstattung.biz,1,tk.sys.validation
pflegeversicherung.ui,432,tk.sys.validation
kur-components.ui,6,tk.sys.validation
hilfsmittelversorgung.ui,86,tk.sys.validation
behandlerverzeichnis.ui,7,tk.sys.validation
zahnersatz-components.ui,7,tk.sys.validation
eingabe-protokoll.ui,4,tk.sys.validation
datenaustausch-eessi.ui,95,tk.sys.validation
sozialversicherungsabkommen.ui,5,tk.sys.validation
tk.sys.gui.editpattern,114,tk.sys.validation
konfigurierbare-leistung.ui,1,tk.sys.validation
tk.sys.workitem.test,15,tk.sys.validation
diseasemanagement.ui,7,tk.sys.validation
mdkverzeichnis.ui,2,tk.sys.validation
tk.sys.gui.test,14,tk.sys.validation
tk.sys.gui.gbo,45,tk.sys.validation
versorgungsangebot.ui,65,tk.sys.validation
rechnungswesen.ui,233,tk.sys.validation
tk.sys.viewagent,131,tk.sys.validation
tk.sys.workitem.qs,71,tk.sys.validation
zentralregistratur.ui,26,tk.sys.validation
fv-meldungen.ui,1,tk.sys.validation
type,39,tk.sys.validation
kim-log.ui.impl,1,tk.sys.validation
testdaten-kur.ui,4,tk.sys.validation
zentralregistratur.ui.qs,9,tk.sys.validation
selvabrechnung.ui,9,tk.sys.validation
entsendung.ui,39,tk.sys.validation
tk.batch.auskunft,9,tk.sys.validation
zahnersatz.ui,66,tk.sys.validation
heilmittelverzeichnis.biz.qs,2,heilmittelverzeichnis.biz
kostenerstattung.biz.qs,24,heilmittelverzeichnis.biz
heilmittelverzeichnis.ui,205,heilmittelverzeichnis.biz
kostenerstattung.ui,143,heilmittelverzeichnis.biz
kur.biz.qs,11,heilmittelverzeichnis.biz
heilmittelverzeichnis.ui.qs,42,heilmittelverzeichnis.biz
hilfsmittelversorgung.biz.qs,7,heilmittelverzeichnis.biz
kur.ui,11,heilmittelverzeichnis.biz
kur.biz,30,heilmittelverzeichnis.biz
kostenerstattung.biz,59,heilmittelverzeichnis.biz
hilfsmittelversorgung.biz,1,heilmittelverzeichnis.biz
apothekenabrechnung.biz,25,hilfsmittelverzeichnis.biz
apothekenabrechnung.biz.qs,1,hilfsmittelverzeichnis.biz
hilfsmittelverzeichnis.biz.qs,920,hilfsmittelverzeichnis.biz
leistungsuebersicht.biz,9,hilfsmittelverzeichnis.biz
arzneimittelverzeichnis.biz,3,hilfsmittelverzeichnis.biz
hilfsmittelversorgung.ui.qs,34,hilfsmittelverzeichnis.biz
kur.biz.qs,5,hilfsmittelverzeichnis.biz
leistungsuebersicht.ui,9,hilfsmittelverzeichnis.biz
apotheke.ui,12,hilfsmittelverzeichnis.biz
hilfsmittelversorgung.biz.qs,383,hilfsmittelverzeichnis.biz
tk.de.web,2,hilfsmittelverzeichnis.biz
tk.de.web.qs,1,hilfsmittelverzeichnis.biz
kur.biz,15,hilfsmittelverzeichnis.biz
pflegeversicherung.ui,58,hilfsmittelverzeichnis.biz
hilfsmittelversorgung.ui,498,hilfsmittelverzeichnis.biz
sozialhilfetraeger-abrechnung.biz,22,hilfsmittelverzeichnis.biz
hilfsmittelverzeichnis.ui,608,hilfsmittelverzeichnis.biz
pflegeversicherung.biz.impl,113,hilfsmittelverzeichnis.biz
hilfsmittelversorgung.biz,858,hilfsmittelverzeichnis.biz
leistung-services.biz.impl,1,leistung-services.psycho.biz.api
korrespondenz.ui.qs,4,arbeitgeberbestandsfuehrung.biz.qs.api
arbeitgeberbestandsfuehrung-uebergreifend.biz.qs,5,arbeitgeberbestandsfuehrung.biz.qs.api
studienverlauf.biz.qs,21,arbeitgeberbestandsfuehrung.biz.qs.api
entsendung.biz.qs,65,arbeitgeberbestandsfuehrung.biz.qs.api
vertrieb.biz.qs,3,arbeitgeberbestandsfuehrung.biz.qs.api
arbeitgeberbestandsfuehrung.biz.qs,1813,arbeitgeberbestandsfuehrung.biz.qs.api
entsendung.ui.qs,7,arbeitgeberbestandsfuehrung.biz.qs.api
korrespondenz.biz.qs,37,arbeitgeberbestandsfuehrung.biz.qs.api
