bundleName,bundleClassification,bundleOrdinal,bundleDepartment,bundleProduct
prozess-tutorial.biz.api,DEV-MISC/SCHULUNG/PIF,1394,IT.AF.PEP,Prozess-Tutorial
org.jvnet.mimepull,EXTERNAL,113,Unbekannt,Unbekannt
korrespondenz-vorlagen.generiert,DEV-APP/BIZ/BASIS/INTERAKTION,666,IT.BA.DOC,Kiss24-TKeasy
krankenhausaufenthalt.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,921,IT.TA.LEVE,Krankenhausaufenthalt
ext-intranet.qs,QS-FRAMEWORK/QS,523,IT.AF.FRW,Framework EAI
tk.de.biz.qs,QS-APP/BIZ,1679,IT.ON.OGP2,tk.de
ca.uhn.hapi.fhir.org.hl7.fhir.r4,EXTERNAL/HAPI-FHIR,247,Unbekannt,Unbekannt
asv-verzeichnis.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,829,IT.TA.LEVE,DA Ambulante spezialfachaerztliche Versorgung
da-beitragsdifferenzierung-pv.ui.impl,DEV-APP/UI/APPLICATION,1369,IT.TA.KMEL,DA Beitragsdifferenzierung PV
haertefall.ui.qs,QS-APP/UI,1799,IT.TA.LEBQ,Haertefall - Belastungsgrenze
versorgungsamtsbescheid.biz.qs,QS-APP/BIZ,1549,IT.TA.WAVE,Versorgungsamtsbescheid
ca.uhn.hapi.fhir.org.hl7.fhir.r5,EXTERNAL/HAPI-FHIR,248,Unbekannt,Unbekannt
diseasemanagement.biz,DEV-APP/BIZ/PROZESSDATEN/VERTRAG,852,IT.TA.WAVE,Diseasemanagement-Programme
poi,EXTERNAL,204,Unbekannt,Unbekannt
prozess-tutorial.proc,DEV-MISC/SCHULUNG/PIF,1396,IT.AF.PEP,Prozess-Tutorial
ant-junit,EXTERNAL,41,Unbekannt,Unbekannt
gkkmitgliederarchiv.biz,DEV-APP/BIZ/PROZESSDATEN/FUSIONSARCHIV,755,IT.TA.KEGK,Fusionsarchiv
ca.uhn.hapi.fhir.org.hl7.fhir.validation,EXTERNAL/HAPI-FHIR,250,Unbekannt,Unbekannt
tk.sys.value,DEV-FRAMEWORK/SERVER-BASE,349,IT.AF.FRW,Framework Server
versorgungsamtsbescheid.ui,DEV-APP/UI/APPLICATION,1279,IT.TA.WAVE,Versorgungsamtsbescheid
vollmacht.biz.qs,QS-APP/BIZ-TOP,1749,IT.TA.KEGK,Geschaeftspartner
zusatzvertrag-batch.biz.qs,QS-APP/BIZ,1562,IT.TA.WAVE,Wahltarife
dokumentenarchiv.biz.qs,QS-APP/BIZ,1601,IT.AF.PIM,Dokumentenarchiv und Dokumentenaufnahme
geschaeftspartner-vertreterauskunft.ui.qs,QS-APP/UI,1885,IT.TA.KEGK,Geschaeftspartner
brownies-collections,EXTERNAL/JAXFRONT,252,Unbekannt,Unbekannt
interessent-pflege.biz,DEV-APP/BIZ/PROZESSDATEN/VERTRIEB,870,IT.TA.BCRM,CRM-Akquisemanager
jetty-websocket-jetty-server,EXTERNAL,153,Unbekannt,Unbekannt
arbeitsagentur.biz.qs,QS-APP/BIZ,1648,IT.TA.WAVE,Betriebsnummern-Verzeichnis
tk.db.mongo,DEV-FRAMEWORK/DB,329,IT.AF.FRW,Framework Persistenz
versorgungsangebot.biz.qs,QS-APP/BIZ,1659,IT.TA.WAVE,Versorgungsangebot
Saxon-HE,EXTERNAL/RUNTIME,295,Unbekannt,Unbekannt
mdkverzeichnis.biz.qs,QS-APP/BIZ,1646,IT.TA.WAVE,MDK-Verzeichnis
verordnung-util.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,893,IT.TA.ZED,Digitale Gesundheitsanwendung
tk.sys.gui.infoframe.qs,QS-FRAMEWORK/QS,531,IT.AF.FRW,Framework GUI
meinetk.ext.outbound,DEV-APP/EXT-OUTBOUND,600,IT.ON.ONB1,MeineTK
tk.sys.gui.client,DEV-FRAMEWORK/GUI-APPLICATION,446,IT.AF.FRW,Framework GUI
gebietsabgrenzung.type,DEV-APP/BIZ/BASIS/STRUKTUR,625,IT.AF.PIM,Gebietsabgrenzung (GBA)
gesundheitskarte.biz,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,729,IT.TA.KEGK,Gesundheitskarte (eGK)
heilmittelverzeichnis.ui.qs,QS-APP/UI,1765,IT.TA.LEBQ,Heilmittelverzeichnis
haushaltshilfe.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,955,IT.TA.GL,Haushaltshilfe
sozialhilfetraeger.ui.qs,QS-APP/UI,1922,IT.TA.WAVE,Sozialhilfetraeger
tk.sys.util.qs,QS-FRAMEWORK/QS,502,IT.AF.FRW,Framework Server
eingabe-protokoll.biz.qs,QS-APP/BIZ,1631,IT.AF.FRW,Eingabe-Protokoll
da-abfrage-mitgliedschaft.biz.qs,QS-APP/BIZ,1623,IT.TA.KMEL,DA Abfrage Mitgliedschaft
rehasport.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,958,IT.PM.PJ,Rehasport und Funktionstraining
leistung-services.biz.qs,QS-APP/BIZ,1481,IT.TA.LEBQ,Leistung-Services
asm-commons,EXTERNAL,28,Unbekannt,Unbekannt
implantattraeger.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,887,IT.TA.LEVE,Implantattraeger
leistungsmanagement.biz.qs,QS-APP/BIZ,1644,IT.TA.LEVE,LM-Fallfuehrung
jetty-client,EXTERNAL,142,Unbekannt,Unbekannt
begleiter.biz,DEV-APP/BIZ/PROZESSDATEN/SERVICE,1000,IT.TA.BCRM,CRM
versichertenbestandsfuehrung.biz.api,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,718,IT.TA.KEGK,Versichertenbestandsfuehrung
uicomponents.ui.qs,QS-APP/UI,1806,IT.AF.FRW,UI-Components
insolvenzmanagement-components.ui,DEV-APP/UI/COMPONENT,1141,IT.TA.BCRM,Insolvenzmanagement
tk.sys.eai.adapter.intranet,DEV-FRAMEWORK/EAI,404,IT.AF.FRW,Framework EAI
tk.sys.services.blobstreaming,DEV-FRAMEWORK/SERVER-INFRASTRUCTURE,372,IT.AF.FRW,Framework EAI
proto-kostenerstattungen.ui.impl,DEV-APP/UI/APPLICATION,1181,IT.PM.PJ,Prototyp Kostenerstattungen
ik-inhaber-verzeichnis-suche.ui.qs,QS-APP/UI,1859,IT.TA.KEGK,Geschaeftspartner
tk.sys.modeling.annotation,DEV-FRAMEWORK/DB,340,IT.AF.FRW,Framework Persistenz
tk.sys.validation,DEV-FRAMEWORK/CORE,318,IT.AF.FRW,Framework Server
heilmittelverzeichnis.biz,DEV-APP/BIZ/VERZEICHNIS,617,IT.TA.LEBQ,Heilmittelverzeichnis
hilfsmittelverzeichnis.biz,DEV-APP/BIZ/VERZEICHNIS,614,IT.TA.WAVE,Hilfsmittelverzeichnis
tk.sys.eai.adapter.vinna.qs,QS-FRAMEWORK/QS,493,IT.AF.FRW,Framework EAI
leistung-services.psycho.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-BASIS,804,IT.TA.LEBQ,Leistung-Services
tk.sys.gui.sapgetktolast.test,QS-INTEGRATIONTEST/SERVER,1962,IT.AF.FRW,Integrationstests
sonstige-leistung.biz.qs,QS-APP/BIZ,1535,IT.TA.LEBQ,Sonstige Leistungen
crm.ext.inbound,DEV-APP/EXTERN/INBOUND,1089,IT.TA.BCRM,CRM
arbeitgeberbestandsfuehrung.biz.qs.api,QS-APP/BIZ,1491,IT.TA.KEGK,Arbeitgeberbestandsfuehrung
mdkverzeichnis-components.ui,DEV-APP/UI/COMPONENT,1136,IT.TA.WAVE,MDK-Verzeichnis
proto-kostenerstattungen.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,875,IT.PM.PJ,Prototyp Kostenerstattungen
org.eclipse.jdt.junit.runtime,EXTERNAL,179,Unbekannt,Unbekannt
assertj-core,EXTERNAL/TEST_ONLY,282,Unbekannt,Unbekannt
pontonxp-adapterapi,EXTERNAL,171,Unbekannt,Unbekannt
org.apache.httpcomponents.httpclient,EXTERNAL,134,Unbekannt,Unbekannt
ca.uhn.hapi.fhir.hapi-fhir-validation-resources-r4,EXTERNAL/HAPI-FHIR,241,Unbekannt,Unbekannt
ca.uhn.hapi.fhir.hapi-fhir-validation-resources-r5,EXTERNAL/HAPI-FHIR,242,Unbekannt,Unbekannt
fusionsarchiv-beitrag.biz,DEV-APP/BIZ/PROZESSDATEN/FUSIONSARCHIV,754,IT.TA.BCRM,Arbeitgeberbeitrag
dhd.ui.impl,DEV-APP/UI/APPLICATION,1375,IT.TA.BCRM,Digital Service Solutions (DSS)
behandlerverzeichnis-components.ui,DEV-APP/UI/COMPONENT,1132,IT.TA.WAVE,Behandler-Verzeichnis
kunde-vor-ort.biz.api,DEV-APP/BIZ/PROZESSDATEN/VERWALTUNG,739,IT.TA.BCRM,CRM-Empfangssteuerung
pflegeunterstuetzungsgeld.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,961,IT.TA.PV,Pflegeunterstuetzungsgeld
erv.biz.qs,QS-APP/BIZ,1462,IT.AF.PIM,Elektronischer Rechtsverkehr
widerspruch.biz.qs,QS-APP/BIZ,1498,IT.TA.WAVE,Widerspruchsbearbeitung
tracking.ui,DEV-APP/UI/APPLICATION,1357,IT.TA.BCRM,Vorgangstracking
neuaufnahmemanager.biz.qs,QS-APP/BIZ,1684,IT.TA.KEGK,Neuaufnahmemanager
kostenerstattung.ui.qs,QS-APP/UI,1917,IT.TA.LEBQ,Kostenerstattung
korrespondenzpartner.ui.qs,QS-APP/UI,1874,IT.TA.KEGK,Geschaeftspartner
tk.sys.dynamictkenum,DEV-FRAMEWORK/CORE,324,IT.AF.FRW,Framework Server
haushaltshilfe.ui,DEV-APP/UI/APPLICATION,1318,IT.TA.GL,Haushaltshilfe
gesundheitskarte.batch,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,732,IT.TA.KEGK,Gesundheitskarte (eGK)
gutachterverzeichnis-components.ui,DEV-APP/UI/COMPONENT,1134,IT.TA.WAVE,Gutachter-Verzeichnis
fusionsarchiv-krankenhaus.type,DEV-APP/BIZ/PROZESSDATEN/FUSIONSARCHIV,757,IT.TA.LEVE,Fusionsarchiv-Krankenhaus
poi-ooxml,EXTERNAL,205,Unbekannt,Unbekannt
arbeitgeberbestandsfuehrung.ui.qs,QS-APP/UI,1804,IT.TA.KEGK,Arbeitgeberbestandsfuehrung
ext-tools.ext.inbound,DEV-APP/EXTERN/INBOUND,1086,IT.AF.FRW,Ext-Tools
kv-verzeichnis.ui.qs,QS-APP/UI,1907,IT.TA.WAVE,Behandler-Verzeichnis
haeusliche-krankenpflege.ui,DEV-APP/UI/APPLICATION,1332,IT.TA.LEBQ,Haeusliche Krankenpflege
ext-internet,DEV-FRAMEWORK/EXT-OUTBOUND,453,IT.AF.FRW,Framework EAI
fv-meldungen.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,782,IT.TA.KMEL,FV-Meldungen
tk.sys.eai.adapter.webservice,DEV-FRAMEWORK/EAI,406,IT.AF.FRW,Framework EAI
bonusprogramm.biz,DEV-APP/BIZ/PROZESSDATEN/VERTRAG,847,IT.TA.BCRM,CRM-Bonusprogramm
proto-kostenerstattungen.proc,DEV-APP/BIZ/GESCHAEFTSPROZESS,1032,IT.PM.PJ,Prototyp Kostenerstattungen
tk.tool.erroranalysis,DEV-FRAMEWORK/TOOL,460,IT.AF.FRW,Framework Server
qdox,EXTERNAL,-1,Unbekannt,Unbekannt
prozess-beispiel.biz.api,DEV-APP/BIZ/BSPL,1025,IT.AF.PEP,Prozess-Beispiel
org.slf4j.jul-to-slf4j,EXTERNAL,169,Unbekannt,Unbekannt
da-md-au.ui.impl,DEV-APP/UI/APPLICATION,1349,IT.TA.GL,Datenaustausch MD AU
kunde-vor-ort.biz.qs,QS-APP/BIZ,1698,IT.TA.BCRM,CRM-Empfangssteuerung
personalverzeichnis.biz,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,733,IT.TA.BCRM,"TKeasy-Rechnungswesen (Vorbeleg, GP-Konto, Forderungsrealisierung)"
korrespondenz.biz.qs.api,QS-APP/BIZ,1448,IT.BA.DOC,Kiss24-TKeasy
tk.sys.gui.image,DEV-FRAMEWORK/GUI-BASE,418,IT.AF.FRW,Framework GUI
duebak-meldungen.ui,DEV-APP/UI/APPLICATION,1300,IT.TA.KMEL,Datenuebermittlung BA - DÜBAK
vorgang-application.ui.qs,QS-APP/UI,1890,IT.AF.PIM,Vorgangssystem
everordnungmanager.ui.qs,QS-APP/UI,1773,IT.AF.PIM,eVerordnung Manager
gesundheitsprojekte-suche.ui,DEV-APP/UI/COMPONENT,1174,IT.TA.LEBQ,Gesundheitsprojekte
leistungsmanagement.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,953,IT.TA.LEVE,LM-Fallfuehrung
da-za-leistungsantraege.biz.qs.api,QS-APP/BIZ,1534,IT.TA.ZED,DA Zahnaerzte Leistungsantraege (ELAG)
com.tngtech.archunit.junit5.engine.api,EXTERNAL/TEST_ONLY,286,Unbekannt,Unbekannt
systemanforderungen.ui,DEV-APP/UI/APPLICATION,1236,IT.TA.BCRM,Listanforderungen (SAF)
jcifs-ng,EXTERNAL,175,Unbekannt,Unbekannt
org.apache.commons.commons-text,EXTERNAL,-1,Unbekannt,Unbekannt
identitaetsdatenabruf.biz.api,DEV-APP/BIZ/PROZESSDATEN/MELDEVERFAHREN,763,IT.TA.KMEL,Identitaetsdatenabruf
testdaten-versicherter.biz.qs,QS-APP/BIZ,1709,IT.TA.KEGK,Versichertenbestandsfuehrung
kim-log.biz.api,DEV-APP/BIZ/BASIS/INTERAKTION,673,IT.AF.PIM,Kommunikation im Medizinwesen Log
krankenkassenverzeichnis-components.ui,DEV-APP/UI/COMPONENT,1133,IT.TA.WAVE,Krankenkassen-Verzeichnis
com.twelvemonkeys.imageio.imageio-bmp,EXTERNAL,76,Unbekannt,Unbekannt
dhd.biz.impl,DEV-APP/BIZ/PROZESSDATEN/SERVICE,1002,IT.TA.BCRM,Digital Service Solutions (DSS)
tk.sys.core,DEV-FRAMEWORK/SERVER,354,IT.AF.FRW,Framework Server
gesundheitskarte.ui,DEV-APP/UI/APPLICATION,1260,IT.TA.KEGK,Gesundheitskarte (eGK)
interessent.biz,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,717,IT.TA.BCRM,CRM-Akquisemanager
da-md-au.proc.qs,QS-APP/BIZ-TOP,1739,IT.TA.GL,Datenaustausch MD AU
zusatzvertrag.biz.api,DEV-APP/BIZ/PROZESSDATEN/VERTRAG,861,IT.TA.WAVE,Wahltarife
icdverzeichnis.biz,DEV-APP/BIZ/STAMMDATEN/VERZEICHNIS,713,IT.TA.GL,ICD-Verzeichnis
tk.batch.security,DEV-FRAMEWORK/SERVER,368,IT.AF.FRW,Framework EAI
com.oracle.database.simplefan,EXTERNAL,51,Unbekannt,Unbekannt
tk.sys.eai.adapter.base.rest,DEV-FRAMEWORK/EAI,390,IT.AF.FRW,Framework EAI
tk.sys.workitem,DEV-FRAMEWORK/GUI-APPLICATION,445,IT.AF.FRW,Framework GUI
bevap.ui.impl,DEV-APP/UI/COMPONENT,1102,IT.TA.PV,Beschaeftigtenverzeichnis in der ambulanten Pflege
dokumentenarchiv.ui,DEV-APP/UI/COMPONENT,1119,IT.AF.PIM,Dokumentenarchiv und Dokumentenaufnahme
tkkonto.ui.qs,QS-APP/UI,1918,IT.TA.BCRM,TK-Konto (TKeasy-GUI  Schriftgut)
schulung.qs,QS-MISC/SCHULUNG,1949,Unbekannt,Unbekannt
com.tngtech.archunit.junit5.engine,EXTERNAL/TEST_ONLY,287,Unbekannt,Unbekannt
org.eclipse.osgi.services,EXTERNAL,8,Unbekannt,Unbekannt
vertriebspartner.ui.impl,DEV-APP/UI/APPLICATION,1242,IT.TA.BCRM,Vertriebsmanagement
systemanforderungen.biz.qs,QS-APP/BIZ,1602,IT.TA.BCRM,Listanforderungen (SAF)
dynamictkenum-offline-values.qs,QS-TYPE,1406,IT.AF.ARC,Anwendungs Infrastruktur
tk.tool.eaimessage.qs,QS-FRAMEWORK/QS,554,IT.AF.FRW,Framework EAI
org.apache.pdfbox.fontbox,EXTERNAL/JAXFRONT,265,Unbekannt,Unbekannt
au-steuerung.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,938,IT.TA.GL,Arbeitsunfaehigkeit-Steuerung
vorgang-querschnittssysteme.ui.api,DEV-APP/UI/COMPONENT,1105,IT.AF.PIM,Vorgangssystem
zuzahlung.biz.qs,QS-APP/BIZ,1583,IT.TA.WAVE,Einzug von Zuzahlungen
beitragserstattung-aus-rente.biz,DEV-APP/BIZ/PROZESSDATEN/BEITRAG,843,IT.TA.BCRM,Beitragserstattung aus Rente
essential-useCase,EXTERNAL,115,Unbekannt,Unbekannt
kunde-vor-ort.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1441,IT.TA.BCRM,CRM-Empfangssteuerung
tk.sys.eai.adapter.tkeasy,DEV-FRAMEWORK/EAI,393,IT.AF.FRW,Framework EAI
integrierteversorgung.biz.qs,QS-APP/BIZ,1618,IT.TA.WAVE,Versorgungsangebot
poi-ooxml-schemas,EXTERNAL,206,Unbekannt,Unbekannt
ext-mtext,DEV-FRAMEWORK/EXT-OUTBOUND,455,IT.AF.FRW,Framework Server
wsdl4j,EXTERNAL,178,Unbekannt,Unbekannt
mbkarchiv.biz,DEV-APP/BIZ/PROZESSDATEN/FINANZEN,748,IT.TA.BCRM,Mitgliederbeitrag
krebsregister-abrechnung.biz.qs,QS-APP/BIZ,1675,IT.TA.LEVE,Krebsregister
pflegeperson.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,903,IT.TA.PV,Pflegeperson
insolvenzmanagement.biz.qs,QS-APP/BIZ,1555,IT.TA.BCRM,Insolvenzmanagement
tk.sys.eai.adapter.rest.qs,QS-FRAMEWORK/BASE,487,IT.AF.FRW,Framework EAI
fileimportexport.util.api,DEV-TYPE,568,IT.TA.LEBQ,Leistungen-Basis
leistungsuebersicht.biz.qs,QS-APP/BIZ,1719,IT.TA.LEBQ,Leistungsuebersicht
seminarverwaltung.ui,DEV-APP/UI/APPLICATION,1341,IT.TA.BCRM,Seminarverwaltung
bevap.biz.impl,DEV-APP/BIZ/VERZEICHNIS,607,IT.TA.PV,Beschaeftigtenverzeichnis in der ambulanten Pflege
da-zahnaerzte.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,951,IT.TA.LEVE,DA Zahnaerzte / Behandlungsfallnachweis
neuaufnahmemanager.biz.api,DEV-APP/BIZ/PROZESSDATEN/VERTRIEB,863,IT.TA.KEGK,Neuaufnahmemanager
datenaustausch-eel.ext.outbound,DEV-APP/EXT-OUTBOUND,593,IT.TA.GL,DA Entgeltersatzleistungen
proko-schriftgut-beispiel.ui.qs,QS-APP/UI,1914,IT.PM.PJ,Prozesskomponente-Schriftgut-Beispiel
testdaten-diga.biz.qs,QS-APP/BIZ,1711,IT.TA.ZED,Digitale Gesundheitsanwendung
beitragserstattung-aus-rente.ui,DEV-APP/UI/APPLICATION,1362,IT.TA.BCRM,Beitragserstattung aus Rente
tk.sys.security.test,QS-INTEGRATIONTEST/SERVER,1961,IT.AF.FRW,Integrationstests
schriftgut.ui.qs,QS-APP/UI,1823,IT.BA.DOC,KISG-Java (Altsysteme)
arbeitgeberbeitrag-systemanforderungen.biz.qs,QS-APP/BIZ,1688,IT.TA.BCRM,Arbeitgeberbeitrag
dokumentenarchiv.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1431,IT.AF.PIM,Dokumentenarchiv und Dokumentenaufnahme
da-aerzte-hybrid-drg.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,975,IT.TA.LEVE,DA Ärzte Hybrid-DRG
korrespondenz.ui.api,DEV-APP/UI/COMPONENT,1159,IT.BA.DOC,Kiss24-TKeasy
pcschriftgut-extern.biz,DEV-APP/BIZ/PROZESSDATEN/VERWALTUNG,742,IT.BA.DOC,KISG-Java (Altsysteme)
tk.sys.communication.web,DEV-FRAMEWORK/SERVER-INFRASTRUCTURE,374,IT.AF.FRW,Framework Server
geschaeftspartner.ui.qs,QS-APP/UI,1832,IT.TA.KEGK,Geschaeftspartner
arbeitsunfaehigkeit.aust.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,914,IT.TA.GL,Arbeitsunfaehigkeit
medizinproduktregress.ui.impl,DEV-APP/UI/APPLICATION,1351,IT.TA.LEBQ,Medizinproduktregress
testdaten-diga.ui,DEV-APP/UI/TESTDATEN,1389,IT.TA.ZED,Digitale Gesundheitsanwendung
tk.sys.process.bpm.influx.engine,DEV-FRAMEWORK/CORE,314,IT.AF.PEP,Framework Process
leistungen-basis.proc.qs.api,QS-APP/BIZ-TOP,1721,IT.TA.LEBQ,Leistungen-Basis
aub-verarbeitung.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,940,IT.TA.GL,Entgeltersatzleistungen
eel-basis.biz.qs,QS-APP/BIZ,1515,IT.TA.GL,Entgeltersatzleistungen
erv.ui.api,DEV-APP/UI/APPLICATION,1186,IT.AF.PIM,Elektronischer Rechtsverkehr
tk.sys.eai.adapter.rest.extern,DEV-FRAMEWORK/EAI,392,IT.AF.FRW,Framework EAI
fahrkosten.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,962,IT.TA.LEBQ,Fahrkosten
sonstigerleistungserbringer.ui,DEV-APP/UI/APPLICATION,1355,IT.TA.LEBQ,Heilmittelverzeichnis
com.twelvemonkeys.imageio.imageio-tiff,EXTERNAL,75,Unbekannt,Unbekannt
da-mitteilungsverfahren-rv.biz.qs,QS-APP/BIZ,1467,IT.TA.LEVE,DA Mitteilungsverfahren RV
seminarverwaltung-pin-auskunft.ui,DEV-APP/UI/APPLICATION,1268,IT.TA.BCRM,Seminarverwaltung
everordnungmanager.biz.qs,QS-APP/BIZ,1541,IT.AF.PIM,eVerordnung Manager
asm-tree,EXTERNAL,29,Unbekannt,Unbekannt
seminarverwaltung.ext.inbound.qs,QS-APP/EXTERN,1940,IT.TA.BCRM,Seminarverwaltung
uvtraeger.biz,DEV-APP/BIZ/STAMMDATEN/INSTITUTIONEN,688,IT.TA.LEBQ,Unfall
sozialhilfetraeger.biz.qs,QS-APP/BIZ,1460,IT.TA.WAVE,Sozialhilfetraeger
tk.sys.gui.preference,DEV-FRAMEWORK/GUI-BASE,421,IT.AF.FRW,Framework GUI
java.desktop.windows,EXTERNAL,199,Unbekannt,Unbekannt
findbugsAnnotations,EXTERNAL,183,Unbekannt,Unbekannt
tkeasy-version,EXTERNAL,299,Unbekannt,Unbekannt
jsr305,EXTERNAL,-1,Unbekannt,Unbekannt
tk.batch.auskunft.qs,QS-FRAMEWORK/QS,516,IT.AF.FRW,Framework EAI
mutterschaftsgeld.biz.api,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,929,IT.TA.GL,Mutterschaftsgeld (MUG)
akquise.ui.qs,QS-APP/UI,1770,IT.TA.BCRM,CRM-Akquisemanager
tkone.ext.outbound,DEV-APP/EXT-OUTBOUND,599,IT.TA.BCRM,CRM
tk.sys.eai.adapter.tkeasy.qs,QS-FRAMEWORK/QS,499,IT.AF.FRW,Framework EAI
jardiff,EXTERNAL,82,Unbekannt,Unbekannt
tim.ext.inbound.qs,QS-APP/EXTERN,1947,IT.AF.PIM,TI-Messenger-Adapter
korrespondenz.proc,DEV-APP/BIZ/GESCHAEFTSPROZESS,1059,IT.BA.DOC,Kiss24-TKeasy
vps.biz.qs,QS-APP/BIZ,1687,IT.TA.LEVE,Vorpruefsoftware
vorgang.ui.qs,QS-APP/UI,1807,IT.AF.PIM,Vorgangssystem
vorgang-type.biz,DEV-APP/BIZ/BASIS/INTERAKTION,643,IT.AF.PIM,Vorgangssystem
kunde-vor-ort.ui,DEV-APP/UI/APPLICATION,1195,IT.TA.BCRM,CRM-Empfangssteuerung
tk.sys.boi.persistence,DEV-FRAMEWORK/SERVER,361,IT.AF.FRW,Framework Persistenz
arbeitgeberbestandsfuehrung.ui,DEV-APP/UI/APPLICATION,1270,IT.TA.KEGK,Arbeitgeberbestandsfuehrung
tk.sys.application.qs,QS-FRAMEWORK/QS,535,IT.AF.FRW,Framework GUI
tk.sys.services.security,DEV-FRAMEWORK/SERVER-INFRASTRUCTURE,380,IT.AF.FRW,Framework Server
pflegeperson.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,925,IT.TA.PV,Pflegeperson
identitaetsdatenabruf.ui.api,DEV-APP/UI/APPLICATION,1215,IT.TA.KMEL,Identitaetsdatenabruf
tk.tool.pdfforms,DEV-FRAMEWORK/TOOL,469,IT.AF.FRW,Framework GUI
vertrieb.biz.api,DEV-APP/BIZ/PROZESSDATEN/VERTRIEB,865,IT.TA.BCRM,Vertriebsmanagement
com.google.inject,EXTERNAL,217,Unbekannt,Unbekannt
junit-platform-suite-api,EXTERNAL/JUNIT-JUPITER,275,Unbekannt,Unbekannt
sozv-meldungen.biz.api,DEV-APP/BIZ/STAMMDATEN/PRIVATKUNDE,724,IT.TA.KMEL,SozV-Meldungen
datenaustausch-eessi.biz.qs,QS-APP/BIZ,1708,IT.TA.ZED,Elektronischer Austausch von Sozialversicherungsdaten (EESSI)
arzneimittelverzeichnis.biz,DEV-APP/BIZ/STAMMDATEN/VERZEICHNIS,707,IT.TA.WAVE,Arzneimittelverzeichnis
da-za-leistungsantraege.biz.impl,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG,879,IT.TA.ZED,DA Zahnaerzte Leistungsantraege (ELAG)
krankenkassenverzeichnis.ui,DEV-APP/UI/APPLICATION,1235,IT.TA.WAVE,Krankenkassen-Verzeichnis
tk.sys.daemon,DEV-FRAMEWORK/GUI-APPLICATION,448,IT.AF.FRW,Framework GUI
org.skyscreamer.jsonassert,EXTERNAL,-1,Unbekannt,Unbekannt
pflegeversicherung.proc.qs,QS-APP/BIZ-TOP,1746,IT.TA.PV,Pflegeversicherung
krankenkassenverzeichnis.biz.qs,QS-APP/BIZ,1570,IT.TA.WAVE,Krankenkassen-Verzeichnis
versorgungsbezug-meldungen.biz.qs,QS-APP/BIZ,1605,IT.TA.KMEL,Versorgungsbezug-Meldungen
leistungen-basis.proc,DEV-APP/BIZ/GESCHAEFTSPROZESS,1028,IT.TA.LEBQ,Leistungen-Basis
org.apache.commons.commons-collections4,EXTERNAL/JAXFRONT,260,Unbekannt,Unbekannt
sapjco3,EXTERNAL,172,Unbekannt,Unbekannt
tk.sys.gui.base,DEV-FRAMEWORK/GUI-BASE,420,IT.AF.FRW,Framework GUI
leistungsuebersicht.ui.api,DEV-APP/UI/APPLICATION,1302,IT.TA.LEBQ,Leistungsuebersicht
diga.ui,DEV-APP/UI/APPLICATION,1329,IT.TA.ZED,Digitale Gesundheitsanwendung
leistungen-datenaustausch.biz,DEV-APP/BIZ/PROZESSDATEN/LEISTUNG-UEBERGREIFEND,991,IT.TA.LEBQ,Leistungen-Basis
selvteilnahme.biz.qs,QS-APP/BIZ,1661,IT.TA.WAVE,Versorgungsangebot
net.sf.jtpl.jtpl,EXTERNAL,126,Unbekannt,Unbekannt
kostenerstattung.ui,DEV-APP/UI/APPLICATION,1289,IT.TA.LEBQ,Kostenerstattung
sozv-meldungen.ext.outbound.qs,QS-APP/EXT-OUTBOUND,1420,IT.TA.KMEL,SozV-Meldungen
unfall.ui,DEV-APP/UI/APPLICATION,1311,IT.TA.LEBQ,Unfall
org.eclipse.equinox.app,EXTERNAL,11,Unbekannt,Unbekannt
